"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.01542614,0.1059003,0.1004147
0,6,0.1391096,0.4091969,0.242805
0,9,0.3039638,0.6224292,0.379239
0,12,0.4243546,0.710735,0.4958204
0,15,0.4840519,0.7126577,0.5910036
0,18,0.4983245,0.6717361,0.6678666
0,21,0.4872306,0.6163806,0.7299212
0,24,0.4650977,0.560455,0.7801165
0,27,0.4398099,0.5094042,0.8208006
0,30,0.4150165,0.4647281,0.8538339
0,33,0.3921188,0.4262945,0.8806948
0,36,0.3714693,0.3933975,0.9025637
0,39,0.3529837,0.3652045,0.9203864
0,42,0.3364236,0.3409307,0.9349234
0,45,0.3215226,0.3198982,0.9467881
0,48,0.3080327,0.30154,0.9564784
0,51,0.2957405,0.285394,0.9643964
0,54,0.2844692,0.2710866,0.9708682
0,57,0.2740732,0.2583146,0.9761596
0,60,0.2644334,0.2468321,0.9804872
0,63,0.2554526,0.2364401,0.9840268
0,66,0.2470507,0.2269759,0.9869227
0,69,0.2391614,0.2183062,0.9892922
0,72,0.2317294,0.2103218,0.9912313
0,75,0.2247085,0.2029323,0.9928182
0,78,0.2180595,0.1960624,0.9941171
0,81,0.2117487,0.1896499,0.9951803
0,84,0.2057479,0.1836426,0.9960507
0,87,0.2000316,0.177995,0.9967631
0,90,0.1945783,0.1726708,0.9973463
0,93,0.1893687,0.1676377,0.9978238
0,96,0.1843861,0.1628683,0.9982148
0,99,0.1796151,0.1583392,0.9985348
0,102,0.1750423,0.1540298,0.9987968
0,105,0.1706555,0.1499224,0.9990114
0,108,0.1664436,0.1460014,0.999187
0,111,0.1623964,0.142253,0.9993308
0,114,0.1585047,0.1386651,0.9994486
0,117,0.1547599,0.1352269,0.999545
0,120,0.1511544,0.1319285,0.999624
0,135,0.1349766,0.1172564,0.9998496
0,150,0.1213736,0.1050534,0.9999327
0,165,0.1098023,0.0947546,0.9999633
0,180,0.09985537,0.08595779,0.9999746
0,195,0.09122105,0.07836417,0.9999788
0,210,0.08365811,0.07174607,0.9999803
0,225,0.07697825,0.06592736,0.9999809
0,240,0.07103346,0.06077036,0.9999812
0,255,0.06570666,0.0561666,0.9999812
0,270,0.06090454,0.05202999,0.9999813
0,285,0.05655226,0.04829172,0.9999813
0,300,0.05258929,0.04489635,0.9999813
0,315,0.04896617,0.04179866,0.9999813
0,330,0.04564246,0.03896227,0.9999813
0,345,0.04258432,0.03635637,0.9999813
0,360,0.03976345,0.03395571,0.9999813
0,375,0.03715618,0.03173892,0.9999813
0,390,0.03474135,0.02968746,0.9999813
0,405,0.03250181,0.0277861,0.9999813
0,420,0.03042227,0.02602142,0.9999813
0,435,0.02848903,0.02438145,0.9999813
0,450,0.02669015,0.0228558,0.9999813
0,465,0.02501495,0.02143523,0.9999813
0,480,0.02345393,0.02011154,0.9999813
0,495,0.02199847,0.01887733,0.9999813
0,510,0.02064074,0.01772589,0.9999813
0,525,0.01937366,0.01665118,0.9999813
0,540,0.01819071,0.01564763,0.9999813
0,555,0.01708595,0.01471017,0.9999813
0,570,0.01605386,0.01383415,0.9999813
0,585,0.01508944,0.01301531,0.9999813
0,600,0.01418804,0.01224982,0.9999813
0,615,0.01334518,0.0115336,0.9999813
0,630,0.01255704,0.01086368,0.9999813
0,645,0.01181985,0.01023681,0.9999813
0,660,0.01113018,0.009650074,0.9999813
0,675,0.01048482,0.009100777,0.9999813
0,690,0.0098808,0.008586406,0.9999813
0,705,0.009315351,0.00810463,0.9999813
0,720,0.008785912,0.007653288,0.9999813
0,735,0.008290083,0.007230357,0.9999813
0,750,0.007825629,0.006833951,0.9999813
0,765,0.007390467,0.006462318,0.9999813
0,780,0.00698266,0.006113822,0.9999813
0,795,0.006600404,0.005786943,0.9999813
0,810,0.006242013,0.005480263,0.9999813
0,825,0.005905912,0.005192443,0.9999813
