"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.005695091,0.03887729,0.1008786
0,6,0.0506357,0.1483331,0.2432325
0,9,0.1098717,0.2242328,0.3795974
0,12,0.1527534,0.2552025,0.4961155
0,15,0.173833,0.2555024,0.5912471
0,18,0.1787627,0.2407442,0.6680678
0,21,0.1747409,0.2209816,0.7300882
0,24,0.1668481,0.2010702,0.7802559
0,27,0.1578566,0.1828979,0.8209177
0,30,0.1490411,0.1669781,0.8539327
0,33,0.14089,0.1532594,0.880779
0,36,0.1335254,0.1414931,0.9026358
0,39,0.126918,0.1313876,0.9204482
0,42,0.1209857,0.1226687,0.9349783
0,45,0.115637,0.1151008,0.9468372
0,48,0.1107857,0.1084831,0.9565221
0,51,0.1063584,0.1026542,0.9644355
0,54,0.1022932,0.09748346,0.9709033
0,57,0.09853945,0.09286209,0.9761916
0,60,0.09505565,0.08870341,0.9805166
0,63,0.09180724,0.08493702,0.9840543
0,66,0.08876609,0.08150429,0.9869485
0,69,0.08590883,0.07835788,0.9893168
0,72,0.08321573,0.07545884,0.9912548
0,75,0.08067043,0.07277434,0.9928409
0,78,0.07825886,0.07027766,0.9941392
0,81,0.07596909,0.0679463,0.9952018
0,84,0.07379086,0.0657613,0.9960716
0,87,0.07171521,0.06370676,0.9967837
0,90,0.06973438,0.06176915,0.9973666
0,93,0.06784149,0.05993698,0.9978439
0,96,0.06603048,0.05820042,0.9982346
0,99,0.06429595,0.05655098,0.9985544
0,102,0.06263305,0.05498131,0.9988163
0,105,0.06103739,0.05348499,0.9990307
0,108,0.05950503,0.05205645,0.9992062
0,111,0.05803236,0.05069075,0.99935
0,114,0.05661607,0.0493835,0.9994677
0,117,0.05525312,0.04813081,0.9995641
0,120,0.05394072,0.0469292,0.999643
0,135,0.04805209,0.04158672,0.9998684
0,150,0.04310368,0.03715045,0.9999514
0,165,0.03890037,0.03341589,0.999982
0,180,0.03529482,0.03023634,0.9999933
0,195,0.03217353,0.02750196,0.9999975
0,210,0.02944807,0.02512854,0.999999
0,225,0.02704899,0.0230506,0.9999996
0,240,0.02492145,0.02121678,0.9999999
0,255,0.02302188,0.01958651,0.9999999
0,270,0.02131546,0.01812754,1
0,285,0.01977419,0.01681406,1
0,300,0.01837538,0.0156253,1
0,315,0.01710052,0.0145444,1
0,330,0.01593439,0.01355757,1
0,345,0.01486436,0.01265348,1
0,360,0.01387985,0.01182264,1
0,375,0.0129719,0.01105715,1
0,390,0.01213294,0.01035031,1
0,405,0.01135642,0.009696391,1
0,420,0.01063664,0.009090441,1
0,435,0.009968644,0.008528157,1
0,450,0.009348035,0.008005765,1
0,465,0.008770911,0.007519923,1
0,480,0.008233804,0.007067672,1
0,495,0.007733617,0.006646385,1
0,510,0.007267526,0.006253673,1
0,525,0.00683301,0.00588741,1
0,540,0.006427716,0.005545611,1
0,555,0.006049508,0.005226487,1
0,570,0.005696415,0.004928379,1
0,585,0.005366642,0.004649784,1
0,600,0.005058547,0.00438933,1
0,615,0.004770612,0.00414575,1
0,630,0.004501434,0.003917867,1
0,645,0.004249719,0.003704612,1
0,660,0.004014256,0.003504969,1
0,675,0.003793915,0.003317976,1
0,690,0.003587675,0.003142815,1
0,705,0.003394569,0.00297867,1
0,720,0.003213693,0.002824749,1
0,735,0.003044247,0.00268045,1
0,750,0.00288547,0.002545133,1
0,765,0.00273661,0.002418088,1
0,780,0.002597,0.002298851,1
0,795,0.002466054,0.002186886,1
0,810,0.002343147,0.002081661,1
0,825,0.002227746,0.001982761,1
0,840,0.002119408,0.001889849,1
0,855,0.002017604,0.001802378,1
0,870,0.001921916,0.001720071,1
0,885,0.001831965,0.001642644,1
0,900,0.001747366,0.001569699,1
0,915,0.001667752,0.001500972,1
0,930,0.001592806,0.001436189,1
0,945,0.001522222,0.001375093,1
0,960,0.001455721,0.001317452,1
0,975,0.001393036,0.001263043,1
0,990,0.001333925,0.00121166,1
0,1005,0.001278148,0.001163105,1
0,1020,0.001225493,0.001117199,1
0,1035,0.001175768,0.001073781,1
0,1050,0.001128771,0.001032682,1
0,1065,0.001084342,0.0009937671,1
0,1080,0.001042306,0.0009568894,1
0,1095,0.001002518,0.0009219268,1
0,1110,0.0009648344,0.0008887599,1
0,1125,0.0009291247,0.0008572779,1
0,1140,0.0008952687,0.00082738,1
0,1155,0.0008631522,0.0007989699,1
0,1170,0.0008326681,0.0007719576,1
0,1185,0.0008037183,0.0007462602,1
0,1200,0.0007762073,0.0007217973,1
0,1215,0.0007500497,0.000698497,1
0,1230,0.0007251619,0.0006762887,1
0,1245,0.0007014691,0.0006551091,1
0,1260,0.0006788986,0.0006348969,1
0,1275,0.0006573851,0.0006155969,1
0,1290,0.000636865,0.0005971552,1
0,1305,0.0006172815,0.0005795239,1
0,1320,0.000598577,0.000562654,1
0,1335,0.0005807014,0.0005465032,1
0,1350,0.0005636087,0.0005310325,1
0,1365,0.0005472577,0.0005162067,1
0,1380,0.0005315958,0.0005019816,1
0,1395,0.0005165905,0.0004883291,1
0,1410,0.0005022084,0.000475221,1
0,1425,0.0004884202,0.0004626321,1
0,1440,0.0004751873,0.0004505297,1
