"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.007805313,0.0532959,0.1008786
0,6,0.06948037,0.2036587,0.2432325
0,9,0.1509399,0.3082506,0.3795974
0,12,0.2100298,0.3510798,0.4961154
0,15,0.2391351,0.3516054,0.5912481
0,18,0.2459688,0.3313026,0.6680681
0,21,0.2404344,0.3040593,0.7300882
0,24,0.2295463,0.2766003,0.7802559
0,27,0.2171397,0.2515444,0.8209176
0,30,0.2049796,0.2296031,0.8539327
0,33,0.1937412,0.2107056,0.880779
0,36,0.1835932,0.1945069,0.9026358
0,39,0.1744941,0.1806024,0.9204487
0,42,0.1663296,0.1686122,0.9349781
0,45,0.1589714,0.1582075,0.9468372
0,48,0.1523007,0.149114,0.9565224
0,51,0.1462148,0.1411073,0.9644356
0,54,0.1406285,0.134005,0.9709038
0,57,0.1354712,0.1276592,0.9761922
0,60,0.1306855,0.1219498,0.9805169
0,63,0.1262238,0.1167789,0.9840545
0,66,0.1220472,0.1120668,0.9869488
0,69,0.1181234,0.107748,0.9893169
0,72,0.1144253,0.1037687,0.9912549
0,75,0.1109303,0.1000843,0.992841
0,78,0.1076192,0.09665758,0.9941391
0,81,0.1044754,0.09345796,0.9952018
0,84,0.1014848,0.09045926,0.9960716
0,87,0.09863526,0.08763956,0.9967836
0,90,0.09591591,0.08498047,0.9973665
0,93,0.0933174,0.08246615,0.9978437
0,96,0.09083141,0.08008309,0.9982345
0,99,0.08845048,0.07781962,0.9985543
0,102,0.08616795,0.07566569,0.9988163
0,105,0.08397782,0.07361247,0.9990306
0,108,0.08187464,0.0716523,0.9992062
0,111,0.07985345,0.06977841,0.99935
0,114,0.07790972,0.06798477,0.9994677
0,117,0.07603926,0.06626604,0.9995641
0,120,0.07423823,0.06461742,0.999643
0,135,0.06615788,0.05728793,0.9998684
0,150,0.05936848,0.05120211,0.9999514
0,165,0.05360167,0.04607876,0.999982
0,180,0.04865485,0.04171627,0.9999933
0,195,0.04437197,0.03796377,0.9999975
0,210,0.04063151,0.03470561,0.999999
0,225,0.03733807,0.03185191,0.9999996
0,240,0.03441639,0.02933224,0.9999999
0,255,0.03180668,0.02709096,0.9999999
0,270,0.02946121,0.02508395,1
0,285,0.02734161,0.02327586,1
0,300,0.02541683,0.02163829,1
0,315,0.02366157,0.02014822,1
0,330,0.02205503,0.01878685,1
0,345,0.02057993,0.01753864,1
0,360,0.01922184,0.01639074,1
0,375,0.01796859,0.01533236,1
0,390,0.0168098,0.01435434,1
0,405,0.01573655,0.01344888,1
0,420,0.01474108,0.01260924,1
0,435,0.01381663,0.01182959,1
0,450,0.01295727,0.01110484,1
0,465,0.01215766,0.01043032,1
0,480,0.01141309,0.009802094,1
0,495,0.01071928,0.009216534,1
0,510,0.01007232,0.008670301,1
0,525,0.009468776,0.008160514,1
0,540,0.008905621,0.007684608,1
0,555,0.0083799,0.007240104,1
0,570,0.007888895,0.006824718,1
0,585,0.007430124,0.006436368,1
0,600,0.007001322,0.006073156,1
0,615,0.006600404,0.005733338,1
0,630,0.006225426,0.005415286,1
0,645,0.005874614,0.005117518,1
0,660,0.005546322,0.004838658,1
0,675,0.005239022,0.004577428,1
0,690,0.004951298,0.004332644,1
0,705,0.004681812,0.004103188,1
0,720,0.004429338,0.003888036,1
0,735,0.004192736,0.003686236,1
0,750,0.003970946,0.003496897,1
0,765,0.003762984,0.003319202,1
0,780,0.003567919,0.003152369,1
0,795,0.003384894,0.002995681,1
0,810,0.003213115,0.002848475,1
0,825,0.003051837,0.002710125,1
0,840,0.002900374,0.002580061,1
0,855,0.002758072,0.002457731,1
0,870,0.00262433,0.002342632,1
0,885,0.002498592,0.002234302,1
0,900,0.002380328,0.002132287,1
0,915,0.002269066,0.002036207,1
0,930,0.002164341,0.001945662,1
0,945,0.002065725,0.001860284,1
0,960,0.001972825,0.001779758,1
0,975,0.001885277,0.001703774,1
0,990,0.001802741,0.001632047,1
0,1005,0.001724892,0.0015643,1
0,1020,0.001651428,0.001500282,1
0,1035,0.001582075,0.001439764,1
0,1050,0.001516564,0.001382511,1
0,1065,0.001454667,0.001328348,1
0,1080,0.001396142,0.001277053,1
0,1095,0.001340773,0.001228442,1
0,1110,0.001288384,0.001182399,1
0,1125,0.001238786,0.001138738,1
0,1140,0.001191797,0.001097304,1
0,1155,0.001147256,0.001057966,1
0,1170,0.001105012,0.001020598,1
0,1185,0.00106492,0.0009850707,1
0,1200,0.001026861,0.0009512996,1
0,1215,0.0009907042,0.0009191572,1
0,1230,0.0009563401,0.0008885617,1
0,1245,0.0009236608,0.0008594212,1
0,1260,0.0008925596,0.0008316335,1
0,1275,0.0008629527,0.000805147,1
0,1290,0.0008347426,0.0007798585,1
0,1305,0.0008078559,0.0007557215,1
0,1320,0.0007822167,0.0007326712,1
0,1335,0.0007577453,0.0007106244,1
0,1350,0.0007343751,0.0006895369,1
0,1365,0.0007120448,0.0006693534,1
0,1380,0.0006906957,0.0006500245,1
0,1395,0.0006702724,0.0006315031,1
0,1410,0.0006507229,0.0006137445,1
0,1425,0.0006319989,0.0005967079,1
0,1440,0.0006140551,0.0005803543,1
