"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.004159234,0.02838706,0.1008786
0,6,0.03694463,0.1081734,0.2432325
0,9,0.08008599,0.1633553,0.3795975
0,12,0.1112639,0.1858051,0.4961156
0,15,0.1265663,0.1859787,0.591247
0,18,0.1301356,0.1752383,0.6680677
0,21,0.1272108,0.1608773,0.7300882
0,24,0.1214793,0.1464103,0.780256
0,27,0.1149494,0.1332047,0.8209176
0,30,0.1085459,0.1216312,0.8539327
0,33,0.102622,0.1116528,0.8807789
0,36,0.09726689,0.1030904,0.9026363
0,39,0.09246,0.09573332,0.9204487
0,42,0.08814192,0.08938254,0.9349781
0,45,0.0842471,0.08386873,0.9468369
0,48,0.08071347,0.07904568,0.9565222
0,51,0.0774879,0.07479719,0.9644354
0,54,0.07452542,0.07102723,0.9709033
0,57,0.07178962,0.06765731,0.9761917
0,60,0.06925014,0.06462494,0.9805166
0,63,0.06688206,0.06187809,0.9840543
0,66,0.064665,0.05937453,0.9869485
0,69,0.06258184,0.0570799,0.9893168
0,72,0.06061834,0.05496535,0.9912549
0,75,0.05876248,0.05300748,0.992841
0,78,0.05700413,0.05118655,0.9941392
0,81,0.05533455,0.04948615,0.9952018
0,84,0.05374625,0.04789251,0.9960717
0,87,0.05223273,0.04639399,0.9967838
0,90,0.05078832,0.04498078,0.9973667
0,93,0.04940802,0.04364446,0.9978439
0,96,0.0480874,0.04237786,0.9982345
0,99,0.04682251,0.04117478,0.9985544
0,102,0.04560984,0.04002987,0.9988163
0,105,0.04444618,0.03893846,0.9990307
0,108,0.04332866,0.03789647,0.9992062
0,111,0.04225464,0.03690029,0.99935
0,114,0.04122172,0.03594673,0.9994677
0,117,0.04022769,0.03503297,0.9995641
0,120,0.03927049,0.03415645,0.999643
0,135,0.03497543,0.03025918,0.9998684
0,150,0.03136584,0.02702285,0.9999514
0,165,0.02829959,0.02429837,0.999982
0,180,0.02566936,0.02197883,0.9999933
0,195,0.02339244,0.01998421,0.9999975
0,210,0.0214044,0.01825311,0.999999
0,225,0.01965464,0.0167378,0.9999996
0,240,0.01810316,0.01540083,0.9999999
0,255,0.01671821,0.01421259,0.9999999
0,270,0.01547438,0.01314954,1
0,285,0.01435123,0.01219285,1
0,300,0.01333222,0.01132735,1
0,315,0.01240381,0.01054071,1
0,330,0.01155491,0.009822858,1
0,345,0.01077623,0.009165477,1
0,360,0.01006007,0.008561662,1
0,375,0.009399907,0.00800562,1
0,390,0.008790151,0.007492432,1
0,405,0.008226003,0.007017888,1
0,420,0.007703297,0.006578361,1
0,435,0.007218397,0.006170704,1
0,450,0.006768102,0.005792161,1
0,465,0.006349571,0.005440302,1
0,480,0.005960255,0.00511295,1
0,495,0.005597856,0.004808154,1
0,510,0.005260317,0.004524173,1
0,525,0.004945735,0.004259397,1
0,540,0.004652417,0.004012404,1
0,555,0.004378807,0.003781887,1
0,570,0.004123483,0.003566653,1
0,585,0.003885136,0.003365609,1
0,600,0.003662562,0.003177746,1
0,615,0.003454639,0.003002129,1
0,630,0.00326034,0.002837899,1
0,645,0.003078711,0.00268426,1
0,660,0.002908872,0.00254048,1
0,675,0.00275001,0.00240588,1
0,690,0.002601369,0.002279831,1
0,705,0.002462247,0.002161748,1
0,720,0.002331993,0.002051088,1
0,735,0.00221,0.001947347,1
0,750,0.002095707,0.001850056,1
0,765,0.00198859,0.00175878,1
0,780,0.001888165,0.001673116,1
0,795,0.00179398,0.001592685,1
0,810,0.001705616,0.001517141,1
0,825,0.001622681,0.001446156,1
0,840,0.001544814,0.001379428,1
0,855,0.001471675,0.001316675,1
0,870,0.001402945,0.00125763,1
0,885,0.001338339,0.001202055,1
0,900,0.001277577,0.001149717,1
0,915,0.001220404,0.001100405,1
0,930,0.001166586,0.001053921,1
0,945,0.0011159,0.001010077,1
0,960,0.001068141,0.000968705,1
0,975,0.001023122,0.0009296497,1
0,990,0.0009806635,0.0008927622,1
0,1005,0.0009405963,0.0008578952,1
0,1020,0.0009027639,0.0008249162,1
0,1035,0.0008670237,0.0007937079,1
0,1050,0.000833247,0.0007641701,1
0,1065,0.0008013092,0.0007362022,1
0,1080,0.0007710902,0.000709692,1
0,1095,0.000742481,0.000684548,1
0,1110,0.0007153787,0.0006606817,1
0,1125,0.0006896888,0.0006380207,1
0,1140,0.0006653192,0.0006164862,1
0,1155,0.0006421894,0.0005960101,1
0,1170,0.0006202246,0.0005765297,1
0,1185,0.0005993536,0.0005579869,1
0,1200,0.0005795095,0.0005403244,1
0,1215,0.0005606319,0.0005234922,1
0,1230,0.0005426619,0.0005074398,1
0,1245,0.0005255418,0.0004921166,1
0,1260,0.0005092181,0.000477475,1
0,1275,0.0004936481,0.0004634841,1
0,1290,0.0004787862,0.000450106,1
0,1305,0.0004645906,0.0004373063,1
0,1320,0.0004510203,0.0004250443,1
0,1335,0.0004380383,0.0004132884,1
0,1350,0.0004256137,0.0004020167,1
0,1365,0.0004137182,0.00039121,1
0,1380,0.0004023249,0.0003808484,1
0,1395,0.0003914013,0.0003708931,1
0,1410,0.0003809179,0.0003613117,1
0,1425,0.0003708504,0.0003520951,1
0,1440,0.0003611726,0.0003432225,1
