"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.008326622,0.05685884,0.1008786
0,6,0.07414127,0.2173499,0.2432325
0,9,0.1611083,0.3290655,0.3795974
0,12,0.2242223,0.3748488,0.4961154
0,15,0.2553238,0.3754382,0.591248
0,18,0.2626336,0.3537628,0.6680682
0,21,0.2567253,0.3246632,0.7300882
0,24,0.2450939,0.2953297,0.7802559
0,27,0.2318389,0.2685637,0.8209176
0,30,0.2188476,0.2451269,0.8539327
0,33,0.2068422,0.2249437,0.880779
0,36,0.196003,0.2076449,0.9026358
0,39,0.1862855,0.1927982,0.9204487
0,42,0.1775672,0.1799969,0.934978
0,45,0.1697108,0.1688895,0.9468371
0,48,0.1625892,0.1591827,0.9565223
0,51,0.1560925,0.1506367,0.9644356
0,54,0.1501294,0.1430565,0.9709036
0,57,0.1446247,0.1362839,0.9761919
0,60,0.1395166,0.1301906,0.9805169
0,63,0.1347546,0.1246724,0.9840545
0,66,0.130297,0.1196438,0.9869488
0,69,0.1261093,0.1150351,0.9893171
0,72,0.1221627,0.1107886,0.991255
0,75,0.1184328,0.106857,0.9928411
0,78,0.1148991,0.1032005,0.9941393
0,81,0.1115441,0.09978617,0.9952019
0,84,0.1083527,0.09658627,0.9960717
0,87,0.1053118,0.09357756,0.9967837
0,90,0.1024098,0.09074021,0.9973666
0,93,0.09963694,0.08805739,0.9978437
0,96,0.09698413,0.08551466,0.9982343
0,99,0.09444346,0.08309957,0.998554
0,102,0.09200779,0.08080127,0.998816
0,105,0.08967071,0.07861044,0.9990305
0,108,0.08742645,0.07651892,0.9992061
0,111,0.08526972,0.07451947,0.9993499
0,114,0.08319566,0.07260568,0.9994676
0,117,0.0811998,0.07077184,0.9995641
0,120,0.07927804,0.06901281,0.999643
0,135,0.07065625,0.06119258,0.9998684
0,150,0.06341209,0.05469932,0.9999514
0,165,0.05725905,0.04923286,0.9999821
0,180,0.0519808,0.04457799,0.9999933
0,195,0.04741077,0.04057364,0.9999975
0,210,0.04341922,0.03709641,0.999999
0,225,0.03990437,0.03405043,0.9999996
0,240,0.0367859,0.03136055,0.9999999
0,255,0.03400004,0.02896746,0.9999999
0,270,0.03149587,0.02682406,1
0,285,0.0292325,0.02489274,1
0,300,0.02717682,0.0231432,1
0,315,0.02530186,0.02155092,1
0,330,0.02358545,0.02009585,1
0,345,0.0220092,0.01876149,1
0,360,0.02055775,0.01753413,1
0,375,0.01921813,0.01640227,1
0,390,0.01797926,0.01535617,1
0,405,0.01683166,0.01438751,1
0,420,0.01576707,0.01348913,1
0,435,0.01477829,0.01265479,1
0,450,0.01385897,0.01187905,1
0,465,0.01300346,0.01115701,1
0,480,0.01220674,0.01048449,1
0,495,0.01146419,0.00985751,1
0,510,0.01077189,0.0092727,1
0,525,0.01012598,0.008726816,1
0,540,0.009523095,0.008217112,1
0,555,0.008960083,0.007740854,1
0,570,0.008434074,0.007295655,1
0,585,0.007942565,0.00687941,1
0,600,0.007483249,0.006490188,1
0,615,0.00705385,0.00612608,1
0,630,0.00665237,0.005785415,1
0,645,0.006276673,0.005466404,1
0,660,0.005925034,0.005167603,1
0,675,0.005595841,0.004887667,1
0,690,0.005287592,0.004625336,1
0,705,0.004998879,0.004379434,1
0,720,0.004728395,0.004148868,1
0,735,0.00447496,0.003932652,1
0,750,0.00423737,0.003729776,1
0,765,0.004014631,0.00353941,1
0,780,0.003805659,0.003360646,1
0,795,0.003609592,0.003192763,1
0,810,0.003425538,0.003035013,1
0,825,0.003252719,0.002886747,1
0,840,0.003090412,0.002747356,1
0,855,0.002937914,0.002616252,1
0,870,0.002794611,0.002492919,1
0,885,0.002659884,0.002376841,1
0,900,0.002533193,0.002267564,1
0,915,0.002413999,0.002164633,1
0,930,0.002301822,0.002067644,1
0,945,0.002196207,0.001976221,1
0,960,0.002096735,0.001890016,1
0,975,0.002002994,0.001808667,1
0,990,0.001914616,0.00173186,1
0,1005,0.001831279,0.001659355,1
0,1020,0.00175268,0.00159091,1
0,1035,0.001678479,0.001526175,1
0,1050,0.001608371,0.001464892,1
0,1065,0.001542146,0.001406972,1
0,1080,0.00147956,0.001352135,1
0,1095,0.001420353,0.001300176,1
0,1110,0.001364327,0.001250947,1
0,1125,0.001311308,0.001204297,1
0,1140,0.001261078,0.001160012,1
0,1155,0.001213488,0.00111802,1
0,1170,0.001168375,0.001078135,1
0,1185,0.001125574,0.001040238,1
0,1200,0.001084938,0.001004189,1
0,1215,0.001046339,0.0009698939,1
0,1230,0.001009667,0.0009372671,1
0,1245,0.0009748066,0.0009061995,1
0,1260,0.0009416506,0.0008766123,1
0,1275,0.0009100896,0.0008483844,1
0,1290,0.0008800101,0.0008214304,1
0,1305,0.0008513511,0.0007957265,1
0,1320,0.0008240415,0.0007711905,1
0,1335,0.0007979809,0.000747729,1
0,1350,0.0007730994,0.0007252962,1
0,1365,0.0007493352,0.0007038343,1
0,1380,0.0007266238,0.0006832889,1
0,1395,0.0007049057,0.0006636094,1
0,1410,0.0006841244,0.0006447477,1
0,1425,0.0006642276,0.0006266594,1
0,1440,0.0006451669,0.000609303,1
