"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.003118597,0.02128152,0.1008786
0,6,0.02768157,0.08102196,0.2432325
0,9,0.05996254,0.1222587,0.3795975
0,12,0.08326213,0.1389984,0.4961157
0,15,0.09468517,0.139105,0.5912469
0,18,0.09734538,0.1310749,0.6680677
0,21,0.09516057,0.1203483,0.7300883
0,24,0.09088157,0.1095431,0.780256
0,27,0.08600665,0.09967808,0.8209176
0,30,0.08122442,0.09102913,0.8539327
0,33,0.07679869,0.08356934,0.8807789
0,36,0.07279615,0.07716568,0.9026359
0,39,0.06920184,0.07166164,0.9204492
0,42,0.06597228,0.06690959,0.9349779
0,45,0.06305804,0.06278179,0.9468371
0,48,0.06041358,0.05917101,0.9565222
0,51,0.05799915,0.05598991,0.9644354
0,54,0.05578147,0.05316661,0.9709034
0,57,0.05373321,0.05064292,0.9761917
0,60,0.05183176,0.0483718,0.9805166
0,63,0.05005864,0.04631427,0.9840544
0,66,0.04839844,0.04443913,0.9869487
0,69,0.04683851,0.04272034,0.989317
0,72,0.04536814,0.04113654,0.991255
0,75,0.04397838,0.03967005,0.9928411
0,78,0.04266161,0.03830613,0.9941393
0,81,0.0414113,0.03703249,0.9952019
0,84,0.04022185,0.03583881,0.9960718
0,87,0.03908839,0.03471641,0.9967839
0,90,0.03800668,0.0336579,0.9973667
0,93,0.03697296,0.03265698,0.9978439
0,96,0.03598393,0.03170827,0.9982346
0,99,0.03503664,0.03080714,0.9985544
0,102,0.03412843,0.02994958,0.9988163
0,105,0.03325693,0.02913208,0.9990307
0,108,0.03241996,0.0283516,0.9992062
0,111,0.03161557,0.02760543,0.99935
0,114,0.03084196,0.02689118,0.9994677
0,117,0.03009745,0.02620673,0.9995641
0,120,0.02938054,0.02555017,0.999643
0,135,0.02616351,0.02263084,0.9998684
0,150,0.02345976,0.02020652,0.9999514
0,165,0.02116293,0.01816558,0.999982
0,180,0.01919265,0.01642799,0.9999933
0,195,0.01748704,0.01493384,0.9999975
0,210,0.01599785,0.01363716,0.999999
0,225,0.01468722,0.01250221,0.9999996
0,240,0.0135252,0.01150095,0.9999999
0,255,0.012488,0.0106112,0.9999999
0,270,0.0115566,0.009815333,1
0,285,0.0107157,0.009099229,1
0,300,0.009952881,0.008451516,1
0,315,0.009258018,0.007862955,1
0,330,0.008622771,0.007325997,1
0,345,0.008040211,0.006834402,1
0,360,0.007504528,0.006382975,1
0,375,0.007010832,0.005967373,1
0,390,0.006554953,0.005583921,1
0,405,0.006133295,0.005229463,1
0,420,0.005742727,0.004901276,1
0,435,0.005380512,0.004596986,1
0,450,0.005044238,0.004314518,1
0,465,0.004731765,0.004052036,1
0,480,0.004441173,0.003807903,1
0,495,0.004170747,0.003580662,1
0,510,0.003918944,0.003369006,1
0,525,0.003684354,0.003171746,1
0,540,0.00346571,0.002987817,1
0,555,0.003261829,0.002816223,1
0,570,0.003071639,0.002656064,1
0,585,0.002894142,0.002506505,1
0,600,0.002728432,0.00236679,1
0,615,0.002573674,0.002236219,1
0,630,0.002429098,0.002114153,1
0,645,0.002293992,0.001999995,1
0,660,0.002167698,0.001893198,1
0,675,0.002049604,0.001793253,1
0,690,0.001939142,0.001699686,1
0,705,0.001835794,0.001612067,1
0,720,0.001739078,0.001529994,1
0,735,0.001648525,0.001453077,1
0,750,0.001563692,0.001380945,1
0,765,0.001484207,0.00131329,1
0,780,0.001409697,0.001249799,1
0,795,0.001339821,0.001190192,1
0,810,0.001274274,0.001134212,1
0,825,0.001212772,0.001081624,1
0,840,0.001155037,0.001032198,1
0,855,0.001100824,0.0009857289,1
0,870,0.001049897,0.00094202,1
0,885,0.001002033,0.0009008846,1
0,900,0.0009570257,0.000862151,1
0,915,0.0009146873,0.0008256636,1
0,930,0.0008748348,0.0007912696,1
0,945,0.0008373062,0.0007588324,1
0,960,0.0008019464,0.0007282217,1
0,975,0.0007686148,0.0006993224,1
0,990,0.0007371819,0.0006720286,1
0,1005,0.0007075247,0.0006462372,1
0,1020,0.0006795244,0.0006218437,1
0,1035,0.0006530731,0.0005987567,1
0,1050,0.0006280754,0.0005769039,1
0,1065,0.000604437,0.0005562085,1
0,1080,0.0005820665,0.0005365867,1
0,1095,0.0005608769,0.0005179587,1
0,1110,0.0005407914,0.0005002608,1
0,1125,0.0005217585,0.0004834799,1
0,1140,0.0005037164,0.0004675519,1
0,1155,0.0004865821,0.0004523683,1
0,1170,0.0004703057,0.0004379358,1
0,1185,0.0004548298,0.0004241734,1
0,1200,0.0004401169,0.0004110772,1
0,1215,0.0004261158,0.0003985857,1
0,1230,0.0004127813,0.0003866678,1
0,1245,0.0004000734,0.0003752868,1
0,1260,0.0003879509,0.0003644078,1
0,1275,0.0003763776,0.0003540018,1
0,1290,0.0003653247,0.0003440444,1
0,1305,0.0003547627,0.0003345106,1
0,1320,0.0003446591,0.0003253731,1
0,1335,0.0003349928,0.0003166141,1
0,1350,0.0003257365,0.0003082105,1
0,1365,0.000316872,0.000300147,1
0,1380,0.0003083738,0.0002924019,1
0,1395,0.0003002214,0.0002849578,1
0,1410,0.0002923944,0.0002777977,1
0,1425,0.0002848745,0.0002709059,1
0,1440,0.0002776441,0.0002642674,1
