"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.1680099,0.1333789,0
0,6,0.1011832,0.08299637,0
0,9,0.06842926,0.05757388,0
0,12,0.05213295,0.04506718,0
0,15,0.04379713,0.0385456,0
0,18,0.03923358,0.03483957,0
0,21,0.03646883,0.03249872,0
0,24,0.03458156,0.03084149,0
0,27,0.03313846,0.02954137,0
0,30,0.03193327,0.02843914,0
0,33,0.03086588,0.02745555,0
0,36,0.02988626,0.02655009,0
0,39,0.02896897,0.02570159,0
0,42,0.02810057,0.02489859,0
0,45,0.02727336,0.02413436,0
0,48,0.02648275,0.02340475,0
0,51,0.0257256,0.02270691,0
0,54,0.02499959,0.02203863,0
0,57,0.02430287,0.02139818,0
0,60,0.02363393,0.0207841,0
0,63,0.02299142,0.02019506,0
0,66,0.02237402,0.01962982,0
0,69,0.02178051,0.01908718,0
0,72,0.02120977,0.01856608,0
0,75,0.02066069,0.01806544,0
0,78,0.02013231,0.01758433,0
0,81,0.01962371,0.01712186,0
0,84,0.01913396,0.01667714,0
0,87,0.0186622,0.01624934,0
0,90,0.01820767,0.01583773,0
0,93,0.0177695,0.01544148,0
0,96,0.01734701,0.01505993,0
0,99,0.01693952,0.01469244,0
0,102,0.0165463,0.01433829,0
0,105,0.01616674,0.01399693,0
0,108,0.01580024,0.01366776,0
0,111,0.0154462,0.01335022,0
0,114,0.01510409,0.01304379,0
0,117,0.01477337,0.01274798,0
0,120,0.01445355,0.01246231,0
0,135,0.01300233,0.01117115,0
0,150,0.0117619,0.01007484,0
0,165,0.01069213,0.009135386,0
0,180,0.009761595,0.008323152,0
0,195,0.008945546,0.007614866,0
0,210,0.008224427,0.006992219,0
0,225,0.007582778,0.00644079,0
0,240,0.007008236,0.005949102,0
0,255,0.006490832,0.005507939,0
0,270,0.00602252,0.005109903,0
0,285,0.005596788,0.004749043,0
0,300,0.005208333,0.00442054,0
0,315,0.004852807,0.004120474,0
0,330,0.004526284,0.003845308,0
0,345,0.00422565,0.003592267,0
0,360,0.003948266,0.003359015,0
0,375,0.003691959,0.00314365,0
0,390,0.003454821,0.002944506,0
0,405,0.003235118,0.002760077,0
0,420,0.003031318,0.002589035,0
0,435,0.002842067,0.002430217,0
0,450,0.002666179,0.002282606,0
0,465,0.002502615,0.002145322,0
0,480,0.002350423,0.002017557,0
0,495,0.002208734,0.001898576,0
0,510,0.002076777,0.001787732,0
0,525,0.001953792,0.001684379,0
0,540,0.001839122,0.001587967,0
0,555,0.001732145,0.001497974,0
0,570,0.001632328,0.001413954,0
0,585,0.001539165,0.001335487,0
0,600,0.001452198,0.001262192,0
0,615,0.001370982,0.001193696,0
0,630,0.001295112,0.001129661,0
0,645,0.001224204,0.001069768,0
0,660,0.001157914,0.001013728,0
0,675,0.001095922,0.0009612766,0
0,690,0.001037935,0.0009121691,0
0,705,0.0009836761,0.0008661769,0
0,720,0.0009328891,0.0008230853,0
0,735,0.0008853378,0.0007826987,0
0,750,0.000840797,0.000744829,0
0,765,0.0007990606,0.0007093049,0
0,780,0.0007599387,0.0006759684,0
0,795,0.0007232463,0.0006446649,0
0,810,0.000688825,0.0006152632,0
0,825,0.0006565147,0.0005876297,0
0,840,0.0006261771,0.0005616495,0
0,855,0.0005976785,0.0005372115,0
0,870,0.0005708962,0.0005142135,0
0,885,0.000545716,0.0004925606,0
0,900,0.0005220313,0.0004721641,0
0,915,0.0004997422,0.0004529406,0
0,930,0.0004787552,0.0004348122,0
0,945,0.0004589845,0.0004177075,0
0,960,0.0004403479,0.0004015577,0
0,975,0.0004227717,0.0003863015,0
0,990,0.0004061854,0.0003718801,0
0,1005,0.0003905243,0.0003582396,0
0,1020,0.0003757285,0.0003453298,0
0,1035,0.0003617418,0.0003331041,0
0,1050,0.0003485119,0.0003215186,0
0,1065,0.0003359901,0.0003105328,0
0,1080,0.0003241309,0.0003001086,0
0,1095,0.0003128916,0.0002902104,0
0,1110,0.000302234,0.0002808061,0
0,1125,0.0002921205,0.0002718644,0
0,1140,0.0002825159,0.0002633558,0
0,1155,0.0002733892,0.0002552542,0
0,1170,0.0002647115,0.0002475357,0
0,1185,0.0002564533,0.0002401753,0
0,1200,0.0002485875,0.0002331503,0
0,1215,0.0002410935,0.0002264436,0
0,1230,0.0002339464,0.0002200342,0
0,1245,0.0002271246,0.000213904,0
0,1260,0.0002206093,0.0002080371,0
0,1275,0.0002143828,0.0002024189,0
0,1290,0.0002084274,0.0001970343,0
0,1305,0.000202727,0.0001918698,0
0,1320,0.0001972675,0.0001869136,0
0,1335,0.0001920348,0.0001821537,0
0,1350,0.0001870158,0.0001775792,0
0,1365,0.0001821987,0.00017318,0
0,1380,0.0001775721,0.0001689466,0
0,1395,0.0001731252,0.0001648699,0
0,1410,0.000168848,0.0001609413,0
0,1425,0.0001647319,0.0001571535,0
0,1440,0.0001607675,0.0001534987,0
