"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.3360351,0.2668199,0
0,6,0.2024038,0.1660528,0
0,9,0.1368938,0.1151901,0
0,12,0.1042928,0.09016319,0
0,15,0.08761499,0.07711359,0
0,18,0.07848646,0.06970025,0
0,21,0.07295612,0.06501777,0
0,24,0.06918135,0.06170343,0
0,27,0.06629578,0.0591037,0
0,30,0.06388529,0.0568993,0
0,33,0.06175047,0.05493231,0
0,36,0.05979145,0.05312179,0
0,39,0.05795767,0.05142563,0
0,42,0.05622149,0.04982033,0
0,45,0.05456743,0.04829236,0
0,48,0.05298661,0.0468337,0
0,51,0.05147296,0.04543873,0
0,54,0.05002164,0.04410295,0
0,57,0.04862875,0.04282271,0
0,60,0.04729129,0.04159508,0
0,63,0.04600667,0.04041753,0
0,66,0.04477238,0.03928764,0
0,69,0.0435859,0.03820299,0
0,72,0.04244495,0.03716139,0
0,75,0.04134745,0.03616083,0
0,78,0.04029142,0.03519938,0
0,81,0.03927494,0.0342752,0
0,84,0.03829616,0.03338652,0
0,87,0.03735336,0.03253168,0
0,90,0.03644492,0.03170913,0
0,93,0.03556928,0.03091736,0
0,96,0.03472499,0.03015498,0
0,99,0.03391061,0.02942062,0
0,102,0.03312482,0.028713,0
0,105,0.03236632,0.02803091,0
0,108,0.03163391,0.02737317,0
0,111,0.03092643,0.02673869,0
0,114,0.03024278,0.02612642,0
0,117,0.02958192,0.02553537,0
0,120,0.02894286,0.02496459,0
0,135,0.02604317,0.02238495,0
0,150,0.02356484,0.02019471,0
0,165,0.02142757,0.01831786,0
0,180,0.01956836,0.01669499,0
0,195,0.0179379,0.01527977,0
0,210,0.01649723,0.01403571,0
0,225,0.0152152,0.01293379,0
0,240,0.01406696,0.0119509,0
0,255,0.01303267,0.01106875,0
0,270,0.01209641,0.01027269,0
0,285,0.01124515,0.009550825,0
0,300,0.01046822,0.008893474,0
0,315,0.009756479,0.008292345,0
0,330,0.009102598,0.007740888,0
0,345,0.008500418,0.007233616,0
0,360,0.007944813,0.006766007,0
0,375,0.007431355,0.006334174,0
0,390,0.006956142,0.005934712,0
0,405,0.006515614,0.005564515,0
0,420,0.006106724,0.005220948,0
0,435,0.00572684,0.004901751,0
0,450,0.005373643,0.004604949,0
0,465,0.005045055,0.004328778,0
0,480,0.004739162,0.004071611,0
0,495,0.004454209,0.003831965,0
0,510,0.00418862,0.003608508,0
0,525,0.003940966,0.003400042,0
0,540,0.003709918,0.003205447,0
0,555,0.003494322,0.003023764,0
0,570,0.003293024,0.002854021,0
0,585,0.00310508,0.002695438,0
0,600,0.002929494,0.002547178,0
0,615,0.00276545,0.002408564,0
0,630,0.002612104,0.002278889,0
0,645,0.002468735,0.002157553,0
0,660,0.00233463,0.002043961,0
0,675,0.002209161,0.00193759,0
0,690,0.002091721,0.001837935,0
0,705,0.001981772,0.001744547,0
0,720,0.00187879,0.001656991,0
0,735,0.001782314,0.001574882,0
0,750,0.00169189,0.001497844,0
0,765,0.00160712,0.001425544,0
0,780,0.001527613,0.001357656,0
0,795,0.00145302,0.001293891,0
0,810,0.001383006,0.001233969,0
0,825,0.001317268,0.001177637,0
0,840,0.001255514,0.001124653,0
0,855,0.001197484,0.001074799,0
0,870,0.001142925,0.001027864,0
0,885,0.001091611,0.0009836605,0
0,900,0.001043323,0.0009420051,0
0,915,0.0009978646,0.0009027349,0
0,930,0.0009550466,0.0008656908,0
0,945,0.0009146986,0.000830731,0
0,960,0.0008766563,0.0007977183,0
0,975,0.0008407722,0.0007665296,0
0,990,0.000806903,0.0007370448,0
0,1005,0.0007749206,0.0007091568,0
0,1020,0.0007447015,0.0006827626,0
0,1035,0.0007161344,0.0006577696,0
0,1050,0.0006891111,0.000634086,0
0,1065,0.0006635348,0.0006116307,0
0,1080,0.0006393128,0.0005903275,0
0,1095,0.0006163614,0.0005701064,0
0,1110,0.0005945977,0.0005508958,0
0,1125,0.0005739484,0.000532634,0
0,1140,0.0005543443,0.0005152656,0
0,1155,0.0005357223,0.000498738,0
0,1170,0.0005180197,0.000482996,0
0,1185,0.0005011811,0.0004679928,0
0,1200,0.0004851531,0.0004536852,0
0,1215,0.0004698873,0.0004400322,0
0,1230,0.0004553369,0.000426994,0
0,1245,0.0004414602,0.0004145353,0
0,1260,0.0004282162,0.0004026221,0
0,1275,0.0004155684,0.0003912235,0
0,1290,0.0004034812,0.0003803091,0
0,1305,0.0003919224,0.000369852,0
0,1320,0.0003808611,0.0003598261,0
0,1335,0.0003702694,0.0003502076,0
0,1350,0.0003601199,0.0003409736,0
0,1365,0.0003503883,0.0003321033,0
0,1380,0.0003410509,0.0003235767,0
0,1395,0.0003320861,0.0003153756,0
0,1410,0.0003234732,0.0003074822,0
0,1425,0.0003151935,0.0002998807,0
0,1440,0.0003072286,0.0002925555,0
