"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.007700828,0.05282601,0.1004089
0,6,0.0692031,0.2032226,0.2427909
0,9,0.1507166,0.3080671,0.3792168
0,12,0.2099117,0.3510458,0.4957913
0,15,0.2390895,0.3516341,0.5909694
0,18,0.2459614,0.3313544,0.6678278
0,21,0.240445,0.3041155,0.7298788
0,24,0.2295637,0.2766524,0.780071
0,27,0.2171579,0.2515895,0.8207527
0,30,0.204996,0.229641,0.853784
0,33,0.1937555,0.2107373,0.8806434
0,36,0.1836054,0.1945331,0.902511
0,39,0.1745046,0.1806242,0.9203327
0,42,0.1663384,0.1686304,0.9348691
0,45,0.1589788,0.1582225,0.946734
0,48,0.1523069,0.1491266,0.9564238
0,51,0.1462201,0.1411179,0.964341
0,54,0.1406329,0.1340138,0.9708123
0,57,0.135475,0.1276664,0.9761034
0,60,0.1306885,0.1219557,0.9804305
0,63,0.1262263,0.1167838,0.9839699
0,66,0.1220493,0.1120708,0.9868656
0,69,0.1181251,0.1077513,0.989235
0,72,0.1144267,0.1037714,0.991174
0,75,0.1109314,0.1000865,0.9927608
0,78,0.10762,0.09665947,0.9940596
0,81,0.104476,0.09345943,0.9951227
0,84,0.1014853,0.0904604,0.995993
0,87,0.09863554,0.0876405,0.9967054
0,90,0.09591606,0.0849812,0.9972885
0,93,0.09331744,0.0824667,0.997766
0,96,0.09083133,0.08008347,0.9981568
0,99,0.08845031,0.07781986,0.9984768
0,102,0.08616768,0.07566581,0.9987388
0,105,0.08397747,0.07361246,0.9989533
0,108,0.08187421,0.07165222,0.9991289
0,111,0.07985295,0.06977818,0.9992728
0,114,0.07790915,0.06798457,0.9993905
0,117,0.07603866,0.06626572,0.9994869
0,120,0.07423756,0.06461704,0.9995658
0,135,0.06615701,0.0572873,0.9997914
0,150,0.05936745,0.05120131,0.9998744
0,165,0.05360056,0.04607787,0.999905
0,180,0.0486537,0.04171533,0.9999163
0,195,0.0443708,0.03796281,0.9999205
0,210,0.04063034,0.03470463,0.9999221
0,225,0.03733693,0.03185095,0.9999226
0,240,0.03441528,0.02933129,0.9999229
0,255,0.0318056,0.02709006,0.999923
0,270,0.02946017,0.02508307,0.999923
0,285,0.02734062,0.02327501,0.999923
0,300,0.02541589,0.02163748,0.999923
0,315,0.02366067,0.02014745,0.999923
0,330,0.02205416,0.0187861,0.9999231
0,345,0.0205791,0.01753793,0.9999231
0,360,0.01922107,0.01639008,0.9999231
0,375,0.01796786,0.01533173,0.9999231
0,390,0.01680911,0.01435374,0.9999231
0,405,0.01573589,0.01344832,0.9999231
0,420,0.01474047,0.01260872,0.9999231
0,435,0.01381607,0.0118291,0.9999231
0,450,0.01295672,0.01110432,0.9999231
0,465,0.01215715,0.01042986,0.9999231
0,480,0.01141261,0.009801676,0.9999231
0,495,0.01071884,0.009216151,0.9999231
0,510,0.010072,0.008670025,0.9999231
0,525,0.009468597,0.008160354,0.9999231
0,540,0.008905453,0.007684452,0.9999231
0,555,0.008379674,0.007239908,0.9999231
0,570,0.007888569,0.006824415,0.9999231
0,585,0.007429729,0.006436033,0.9999231
0,600,0.007000896,0.006072809,0.9999231
0,615,0.006599869,0.00573289,0.9999231
0,630,0.006224843,0.005414755,0.9999231
0,645,0.005874029,0.005117078,0.9999231
0,660,0.00554572,0.004838128,0.9999231
0,675,0.005238415,0.004576928,0.9999231
0,690,0.004950645,0.004332095,0.9999231
0,705,0.004681167,0.004102637,0.9999231
0,720,0.004428701,0.003887495,0.9999231
0,735,0.004192113,0.003685704,0.9999231
0,750,0.003970329,0.003496374,0.9999231
0,765,0.003762363,0.003318676,0.9999231
0,780,0.003567308,0.003151851,0.9999231
0,795,0.003384298,0.002995176,0.9999231
0,810,0.003212533,0.002847981,0.9999231
0,825,0.00305127,0.002709646,0.9999231
0,840,0.002899817,0.002579589,0.9999231
0,855,0.002757529,0.002457271,0.9999231
0,870,0.002623803,0.002342186,0.9999231
