"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.06629141,0.1739674,0
0,6,0.1139413,0.2123535,0
0,9,0.1442025,0.2374595,0
0,12,0.1658671,0.2559384,0
0,15,0.1832158,0.2710844,0
0,18,0.1982971,0.2844275,0
0,21,0.2120815,0.2966972,0
0,24,0.2250355,0.3082518,0
0,27,0.2373924,0.3192756,0
0,30,0.2492718,0.3298662,0
0,33,0.1944459,0.166099,0
0,36,0.1578815,0.1375615,0
0,39,0.1383603,0.1219925,0
0,42,0.1271134,0.1127546,0
0,45,0.1198749,0.1065659,0
0,48,0.1146106,0.1019089,0
0,51,0.1103623,0.09806645,0
0,54,0.1066744,0.09469118,0
0,57,0.1033254,0.09160978,0
0,60,0.1002067,0.08873484,0
0,63,0.09726141,0.0860194,0
0,66,0.09445898,0.08343743,0
0,69,0.09178132,0.08097297,0
0,72,0.08921666,0.0786154,0
0,75,0.08675691,0.07635725,0
0,78,0.08439594,0.07419265,0
0,81,0.08212834,0.07211646,0
0,84,0.07994911,0.07012389,0
0,87,0.07785384,0.06821071,0
0,90,0.0758386,0.06637313,0
0,93,0.07389972,0.06460762,0
0,96,0.07203385,0.0629109,0
0,99,0.07023759,0.06127971,0
0,102,0.06850766,0.0597109,0
0,105,0.06684098,0.05820153,0
0,108,0.06523469,0.05674884,0
0,111,0.0636861,0.05535026,0
0,114,0.06219259,0.05400328,0
0,117,0.0607517,0.05270551,0
0,120,0.05936108,0.05145474,0
0,135,0.05308728,0.04583434,0
0,150,0.04777695,0.04110901,0
0,165,0.0432408,0.03709897,0
0,180,0.03933088,0.03366421,0
0,195,0.0359311,0.03069525,0
0,210,0.03295013,0.02810633,0
0,225,0.03031629,0.02583037,0
0,240,0.02797275,0.02381442,0
0,255,0.02587381,0.02201609,0
0,270,0.02398276,0.02040148,0
0,285,0.02227025,0.01894363,0
0,300,0.02071249,0.01762084,0
0,315,0.01928988,0.01641533,0
0,330,0.01798624,0.01531248,0
0,345,0.01678811,0.01430025,0
0,360,0.01568422,0.01336861,0
0,375,0.01466498,0.01250909,0
0,390,0.01372216,0.01171445,0
0,405,0.01284868,0.01097852,0
0,420,0.01203827,0.01029584,0
0,435,0.01128553,0.009661784,0
0,450,0.0105857,0.009072241,0
0,465,0.009934516,0.008523591,0
0,480,0.009328173,0.008012587,0
0,495,0.008763215,0.007536297,0
0,510,0.008236513,0.007092081,0
0,525,0.007745223,0.006677538,0
0,540,0.007286757,0.006290494,0
0,555,0.006858752,0.005928962,0
0,570,0.006459038,0.005591128,0
0,585,0.006085613,0.005275312,0
0,600,0.005736686,0.004980023,0
0,615,0.005410522,0.004703807,0
0,630,0.005105462,0.004445268,0
0,645,0.004820091,0.00420323,0
0,660,0.004553023,0.003976536,0
0,675,0.004303014,0.003764147,0
0,690,0.004068935,0.003565123,0
0,705,0.003849705,0.003378561,0
0,720,0.003644339,0.003203641,0
0,735,0.003451909,0.003039591,0
0,750,0.003271535,0.002885675,0
0,765,0.003102409,0.002741216,0
0,780,0.00294376,0.002605564,0
0,795,0.002794892,0.002478145,0
0,810,0.00265516,0.002358428,0
0,825,0.002523952,0.002245892,0
0,840,0.002400704,0.002140052,0
0,855,0.002284901,0.002040492,0
0,870,0.002176062,0.001946828,0
0,885,0.002073721,0.001858651,0
0,900,0.001977435,0.001775562,0
0,915,0.001886804,0.001697245,0
0,930,0.001801479,0.001623459,0
0,945,0.001721121,0.001553849,0
0,960,0.001645395,0.001488173,0
0,975,0.001574004,0.00142617,0
0,990,0.001506677,0.00136762,0
0,1005,0.001443148,0.001312287,0
0,1020,0.001383172,0.001259978,0
0,1035,0.001326522,0.001210492,0
0,1050,0.001272993,0.001163667,0
0,1065,0.001222383,0.001119323,0
0,1080,0.001174509,0.001077314,0
0,1095,0.001129198,0.001037492,0
0,1110,0.001086292,0.0009997186,0
0,1125,0.001045642,0.0009638843,0
0,1140,0.001007096,0.000929834,0
0,1155,0.0009705497,0.0008975063,0
0,1170,0.0009358652,0.0008667812,0
0,1185,0.0009029235,0.0008375312,0
0,1200,0.0008716174,0.0008097003,0
0,1215,0.0008418623,0.0007832031,0
0,1230,0.0008135526,0.0007579467,0
0,1245,0.0007866019,0.0007338622,0
0,1260,0.0007609435,0.0007108922,0
0,1275,0.0007364961,0.0006889682,0
0,1290,0.0007131823,0.0006680245,0
0,1305,0.0006909354,0.0006480046,0
0,1320,0.0006696951,0.0006288575,0
0,1335,0.0006494058,0.0006105358,0
0,1350,0.0006300124,0.0005929927,0
0,1365,0.0006114638,0.0005761849,0
0,1380,0.0005937142,0.0005600734,0
0,1395,0.000576716,0.0005446176,0
0,1410,0.0005604278,0.0005297824,0
0,1425,0.0005448106,0.0005155345,0
0,1440,0.000529826,0.0005018411,0
