"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Rifampicin|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Rifampicin|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Rifampicin|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0
0,3,0,0.002161794,0,0.01814843,0,0.01441142
0,6,0,0.03162409,0,0.1151025,0,0.04768994
0,9,0,0.1210462,0,0.3121223,0,0.09640867
0,12,0,0.2936753,0,0.6167241,0,0.1530727
0,15,0,0.5594491,0,1.024104,0,0.215239
0,18,0,0.9231808,0,1.538497,0,0.2818868
0,21,0,1.38928,0,2.162662,0,0.3517273
0,24,0,1.960625,0,2.897008,0,0.4233285
0,27,0,2.637022,0,3.734578,0,0.4951671
0,30,0,3.413436,0,4.658565,0,0.5622509
0,33,0,4.270986,0,5.627151,0,0.6218482
0,36,0,5.181242,0,6.608419,0,0.6739611
0,39,0,6.116357,0,7.576908,0,0.7189377
0,42,0,7.051425,0,8.512177,0,0.7573394
0,45,0,7.965431,0,9.398505,0,0.7898406
0,48,0,8.841545,0,10.22476,0,0.8171504
0,51,0,9.667072,0,10.98355,0,0.8399647
0,54,0,10.43302,0,11.67087,0,0.8589359
0,57,0,11.13373,0,12.28521,0,0.8746552
0,60,0,11.76619,0,12.82718,0,0.8876457
0,63,0,12.32969,0,13.29884,0,0.8983618
0,66,0,12.82509,0,13.70328,0,0.9071928
0,69,0,13.25467,0,14.04452,0,0.9144686
0,72,0,13.62142,0,14.32654,0,0.9204661
0,75,0,13.9292,0,14.55444,0,0.9254164
0,78,0,14.18189,0,14.73184,0,0.929511
0,81,0,14.38383,0,14.86435,0,0.9329082
0,84,0,14.53928,0,14.95559,0,0.9357379
0,87,0,14.65268,0,15.01054,0,0.938107
0,90,0,14.72773,0,15.03154,0,0.9401024
0,93,0,14.76866,0,15.02491,0,0.9417956
0,96,0,14.7788,0,14.98993,0,0.9432444
0,99,0,14.76159,0,14.93462,0,0.944496
0,102,0,14.72038,0,14.85773,0,0.9455888
0,105,0,14.65815,0,14.76492,0,0.9465538
0,108,0,14.57756,0,14.65639,0,0.9474162
0,111,0,14.48079,0,14.53529,0,0.9481943
0,114,0,14.37017,0,14.40312,0,0.9489028
0,117,0,14.24762,0,14.26174,0,0.9495554
0,120,0,14.11493,0,14.11261,0,0.9501632
0,123,0,13.9737,0,13.95711,0,0.950735
0,126,0,13.82536,0,13.79647,0,0.951278
0,129,0,13.67118,0,13.63176,0,0.9517977
0,132,0,13.51231,0,13.46392,0,0.952299
0,135,0,13.34975,0,13.29379,0,0.9527856
0,138,0,13.18441,0,13.12213,0,0.9532604
0,141,0,13.01706,0,12.94958,0,0.9537259
0,144,0,12.84841,0,12.77671,0,0.9541839
0,147,0,12.67907,0,12.60401,0,0.9546362
0,150,0,12.50956,0,12.4319,0,0.9550836
0,153,0,12.34034,0,12.26077,0,0.9555274
0,156,0,12.17183,0,12.09091,0,0.9559682
0,159,0,12.00435,0,11.92261,0,0.9564067
0,162,0,11.83822,0,11.75609,0,0.9568433
0,165,0,11.67368,0,11.59156,0,0.9572784
0,168,0,11.51095,0,11.42915,0,0.9577124
0,171,0,11.35021,0,11.26902,0,0.9581454
0,174,0,11.1916,0,11.11126,0,0.9585778
0,177,0,11.03525,0,10.95596,0,0.9590095
0,180,0,10.88125,0,10.80318,0,0.9594408
0,183,0,10.72968,0,10.65297,0,0.9598718
0,186,0,10.5806,0,10.50536,0,0.9603026
0,189,0,10.43405,0,10.36037,0,0.9607332
0,192,0,10.29005,0,10.21801,0,0.9611637
0,195,0,10.14863,0,10.07828,0,0.9615941
0,198,0,10.00979,0,9.941168,0,0.9620246
0,201,0,9.873517,0,9.806642,0,0.9624551
0,204,0,9.739812,0,9.674722,0,0.9628856
0,207,0,9.608646,0,9.545314,0,0.9633163
0,210,0,9.48,0,9.418415,0,0.9637472
0,213,0,9.35385,0,9.294088,0,0.9641782
0,216,0,9.230139,0,9.172011,0,0.9646094
0,219,0,9.10886,0,9.052462,0,0.9650409
0,222,0,8.989983,0,8.93549,0,0.9654725
