"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Midazolam|Whole Blood (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Rifampicin|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Rifampicin|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Rifampicin|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0
0,3,0,0,0.002161795,0,0.01814843,0,0.01441142
0,6,0,0,0.03162409,0,0.1151025,0,0.04768993
0,9,0,0,0.1210465,0,0.3121264,0,0.09641544
0,12,0,0,0.2936844,0,0.616749,0,0.1530783
0,15,0,0,0.559469,0,1.024142,0,0.2152443
0,18,0,0,0.9232081,0,1.538543,0,0.2818916
0,21,0,0,1.389254,0,2.162576,0,0.3517318
0,24,0,0,1.960557,0,2.896729,0,0.4233326
0,27,0,0,2.636985,0,3.734552,0,0.4951781
0,30,0,0,3.413437,0,4.658605,0,0.5622591
0,33,0,0,4.271017,0,5.627239,0,0.6218526
0,36,0,0,5.181298,0,6.608496,0,0.6739664
0,39,0,0,6.116431,0,7.57699,0,0.7189433
0,42,0,0,7.051499,0,8.512233,0,0.7573432
0,45,0,0,7.965507,0,9.398601,0,0.7898421
0,48,0,0,8.841614,0,10.22478,0,0.8171511
0,51,0,0,9.667127,0,10.98366,0,0.8399654
0,54,0,0,10.43308,0,11.67085,0,0.8589366
0,57,0,0,11.13375,0,12.2853,0,0.874656
0,60,0,0,11.76625,0,12.8272,0,0.8876466
0,63,0,0,12.32968,0,13.2988,0,0.8983629
0,66,0,0,12.82514,0,13.7035,0,0.9071941
0,69,0,0,13.25467,0,14.0442,0,0.9144699
0,72,0,0,13.62144,0,14.327,0,0.9204674
0,75,0,0,13.92931,0,14.55432,0,0.9254177
0,78,0,0,14.18198,0,14.73213,0,0.9295123
