"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Midazolam|Whole Blood (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Rifampicin|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Rifampicin|Whole Blood (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Rifampicin|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Rifampicin|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0
0,3,0,0,0.002161795,0.001543871,0,0.01814843,0,0.01441142
0,6,0,0,0.03162409,0.02425258,0,0.1151025,0,0.04768993
0,9,0,0,0.1210465,0.09556164,0,0.3121267,0,0.09641578
0,12,0,0,0.2936849,0.23566,0,0.6167502,0,0.1530786
0,15,0,0,0.5594701,0.4538221,0,1.024143,0,0.2152445
0,18,0,0,0.9232095,0.7543905,0,1.538546,0,0.2818919
0,21,0,0,1.389255,1.140912,0,2.162581,0,0.351732
0,24,0,0,1.960573,1.615669,0,2.89665,0,0.4233328
0,27,0,0,2.636991,2.178583,0,3.734561,0,0.4951768
0,30,0,0,3.41344,2.826008,0,4.658604,0,0.5622584
0,33,0,0,4.271017,3.544254,0,5.627222,0,0.6218541
0,36,0,0,5.181288,4.312112,0,6.60846,0,0.6739658
0,39,0,0,6.116407,5.108213,0,7.57699,0,0.7189427
0,42,0,0,7.051496,5.912877,0,8.512264,0,0.7573437
0,45,0,0,7.965523,6.708862,0,9.398607,0,0.7898434
0,48,0,0,8.841611,7.48174,0,10.22477,0,0.8171523
0,51,0,0,9.667147,8.220091,0,10.98372,0,0.8399663
0,54,0,0,10.43308,8.915158,0,11.67076,0,0.8589373
0,57,0,0,11.13376,9.560776,0,12.28549,0,0.8746564
0,60,0,0,11.76628,10.153,0,12.82697,0,0.8876469
0,63,0,0,12.32966,10.68957,0,13.29909,0,0.8983631
0,66,0,0,12.82523,11.17013,0,13.70326,0,0.9071941
0,69,0,0,13.25457,11.59489,0,14.04419,0,0.9144699
0,72,0,0,13.62159,11.96585,0,14.32751,0,0.9204674
0,75,0,0,13.92929,12.28482,0,14.55373,0,0.9254176
0,78,0,0,14.18182,12.55452,0,14.73222,0,0.9295121
0,81,0,0,14.38392,12.77827,0,14.86435,0,0.9329093
0,84,0,0,14.53943,12.95901,0,14.95586,0,0.935739
0,87,0,0,14.65272,13.10013,0,15.01035,0,0.938108
0,90,0,0,14.72784,13.20488,0,15.03198,0,0.9401034
0,93,0,0,14.76867,13.27649,0,15.02435,0,0.9417966
0,96,0,0,14.77887,13.31809,0,14.99085,0,0.9432456
0,99,0,0,14.76185,13.33264,0,14.9346,0,0.9444973
0,102,0,0,14.72076,13.32296,0,14.85846,0,0.9455902
0,105,0,0,14.65853,13.29169,0,14.76502,0,0.9465553
0,108,0,0,14.57781,13.24129,0,14.65664,0,0.9474175
0,111,0,0,14.48101,13.17402,0,14.53541,0,0.9481955
0,114,0,0,14.37034,13.09198,0,14.40325,0,0.9489042
0,117,0,0,14.24776,12.99707,0,14.26183,0,0.9495567
0,120,0,0,14.11505,12.89103,0,14.11269,0,0.9501643
0,123,0,0,13.97379,12.77543,0,13.95718,0,0.950736
0,126,0,0,13.82543,12.65172,0,13.79652,0,0.9512788
0,129,0,0,13.67124,12.52118,0,13.63179,0,0.9517985
0,132,0,0,13.51235,12.38497,0,13.46394,0,0.9522998
0,135,0,0,13.34979,12.24415,0,13.29382,0,0.9527863
0,138,0,0,13.18443,12.09964,0,13.12215,0,0.9532611
0,141,0,0,13.01708,11.95226,0,12.94959,0,0.9537265
0,144,0,0,12.84842,11.80276,0,12.77672,0,0.9541846
0,147,0,0,12.67907,11.6518,0,12.60401,0,0.9546367
0,150,0,0,12.50955,11.49993,0,12.4319,0,0.9550842
0,153,0,0,12.34034,11.34767,0,12.26076,0,0.955528
0,156,0,0,12.17182,11.19547,0,12.0909,0,0.9559687
0,159,0,0,12.00435,11.04369,0,11.9226,0,0.9564072
0,162,0,0,11.83822,10.89269,0,11.75609,0,0.9568439
0,165,0,0,11.67368,10.74274,0,11.59155,0,0.957279
0,168,0,0,11.51095,10.5941,0,11.42915,0,0.9577129
