"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Rifampicin|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Rifampicin|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Rifampicin|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0
0,3,0,0.001080127,0,0.009061445,0,0.01440744
0,6,0,0.01573319,0,0.05708891,0,0.04765258
0,9,0,0.05974856,0,0.1531631,0,0.09674676
0,12,0,0.144236,0,0.3033794,0,0.1586147
0,15,0,0.2763636,0,0.5090418,0,0.2289304
0,18,0,0.4589757,0,0.7670535,0,0.3033861
0,21,0,0.6909214,0,1.071068,0,0.3782878
0,24,0,0.9677668,0,1.412483,0,0.450738
0,27,0,1.282597,0,1.781337,0,0.5186783
0,30,0,1.626872,0,2.167193,0,0.5808152
0,33,0,1.991241,0,2.55994,0,0.6364866
0,36,0,2.366311,0,2.95034,0,0.6855167
0,39,0,2.743197,0,3.330437,0,0.7280949
0,42,0,3.114002,0,3.693799,0,0.7646464
0,45,0,3.472067,0,4.035509,0,0.7957287
0,48,0,3.812091,0,4.352105,0,0.8219578
0,51,0,4.130094,0,4.641381,0,0.8439547
0,54,0,4.423352,0,4.902279,0,0.8623143
0,57,0,4.690226,0,5.13453,0,0.877581
0,60,0,4.92998,0,5.338627,0,0.8902414
0,63,0,5.142633,0,5.515532,0,0.9007219
0,66,0,5.32877,0,5.666572,0,0.9093902
0,69,0,5.489409,0,5.793362,0,0.9165597
0,72,0,5.625876,0,5.897581,0,0.9224945
0,75,0,5.739688,0,5.98106,0,0.9274161
0,78,0,5.83249,0,6.045576,0,0.9315086
0,81,0,5.905962,0,6.092885,0,0.9349244
0,84,0,5.961794,0,6.12472,0,0.9377891
0,87,0,6.001639,0,6.142638,0,0.940206
0,90,0,6.027074,0,6.148205,0,0.9422596
0,93,0,6.039611,0,6.142792,0,0.944019
0,96,0,6.040653,0,6.127697,0,0.9455404
0,99,0,6.031513,0,6.104142,0,0.9468697
0,102,0,6.013402,0,6.073151,0,0.9480441
0,105,0,5.98742,0,6.03577,0,0.9490938
0,108,0,5.954588,0,5.992837,0,0.950043
0,111,0,5.915812,0,5.945168,0,0.9509116
0,114,0,5.871927,0,5.893494,0,0.9517156
0,117,0,5.823674,0,5.838408,0,0.9524677
0,120,0,5.77172,0,5.780538,0,0.9531782
0,123,0,5.716667,0,5.720346,0,0.9538555
0,126,0,5.659044,0,5.658289,0,0.9545061
0,129,0,5.59932,0,5.594766,0,0.9551353
0,132,0,5.537913,0,5.530125,0,0.9557475
0,135,0,5.475196,0,5.464672,0,0.9563459
0,138,0,5.411493,0,5.398675,0,0.9569331
0,141,0,5.347091,0,5.332369,0,0.9575115
0,144,0,5.28224,0,5.265957,0,0.9580826
0,147,0,5.21716,0,5.199616,0,0.9586477
0,150,0,5.152039,0,5.133498,0,0.959208
0,153,0,5.087042,0,5.067735,0,0.9597642
0,156,0,5.022313,0,5.002439,0,0.960317
0,159,0,4.957973,0,4.937707,0,0.9608669
0,162,0,4.894127,0,4.873619,0,0.9614143
0,165,0,4.830864,0,4.810243,0,0.9619595
0,168,0,4.768258,0,4.747635,0,0.9625029
0,171,0,4.706372,0,4.685843,0,0.9630445
0,174,0,4.645258,0,4.624902,0,0.9635844
0,177,0,4.584958,0,4.564842,0,0.9641229
