"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Rifampicin|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Rifampicin|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Rifampicin|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0
0,3,0,0.002161794,0,0.01814843,0,0.01441142
0,6,0,0.03162409,0,0.1151025,0,0.04768994
0,9,0,0.1210463,0,0.3121239,0,0.09641178
0,12,0,0.2936793,0,0.6167355,0,0.1530752
0,15,0,0.5594581,0,1.024121,0,0.2152414
0,18,0,0.9231931,0,1.538516,0,0.281889
0,21,0,1.389301,0,2.162783,0,0.3517294
0,24,0,1.960649,0,2.897319,0,0.4233304
0,27,0,2.637102,0,3.73466,0,0.4951788
0,30,0,3.413523,0,4.658679,0,0.5622599
0,33,0,4.271086,0,5.627279,0,0.6218553
0,36,0,5.181352,0,6.60854,0,0.6739665
0,39,0,6.116468,0,7.577002,0,0.7189425
0,42,0,7.051531,0,8.512301,0,0.7573436
0,45,0,7.965546,0,9.398597,0,0.7898435
0,48,0,8.841639,0,10.22485,0,0.8171525
0,51,0,9.66717,0,10.98364,0,0.8399664
0,54,0,10.43309,0,11.67088,0,0.8589373
0,57,0,11.1338,0,12.28537,0,0.8746564
0,60,0,11.76625,0,12.82707,0,0.8876469
0,63,0,12.32974,0,13.2991,0,0.8983629
0,66,0,12.82515,0,13.70305,0,0.9071939
0,69,0,13.25465,0,14.04471,0,0.9144696
0,72,0,13.62142,0,14.32611,0,0.9204671
0,75,0,13.92915,0,14.55513,0,0.9254173
0,78,0,14.18208,0,14.73124,0,0.929512
0,81,0,14.38361,0,14.86437,0,0.9329091
0,84,0,14.53911,0,14.95476,0,0.9357388
0,87,0,14.6522,0,15.01061,0,0.9381078
0,90,0,14.7279,0,15.03222,0,0.9401033
0,93,0,14.76887,0,15.02535,0,0.9417964
0,96,0,14.77954,0,14.99116,0,0.9432452
0,99,0,14.76218,0,14.93483,0,0.9444968
0,102,0,14.72098,0,14.85809,0,0.9455895
0,105,0,14.65826,0,14.7642,0,0.9465546
0,108,0,14.57745,0,14.65662,0,0.9474169
0,111,0,14.48082,0,14.53516,0,0.948195
0,114,0,14.37015,0,14.40316,0,0.9489034
0,117,0,14.24762,0,14.26172,0,0.9495561
0,120,0,14.11493,0,14.11261,0,0.9501638
0,123,0,13.9737,0,13.95713,0,0.9507356
0,126,0,13.82536,0,13.79647,0,0.9512785
0,129,0,13.67118,0,13.63175,0,0.9517983
0,132,0,13.51231,0,13.46391,0,0.9522995
0,135,0,13.34975,0,13.29379,0,0.9527861
0,138,0,13.1844,0,13.12213,0,0.9532609
0,141,0,13.01706,0,12.94958,0,0.9537264
0,144,0,12.84841,0,12.77671,0,0.9541845
0,147,0,12.67906,0,12.604,0,0.9546367
0,150,0,12.50955,0,12.4319,0,0.9550841
0,153,0,12.34033,0,12.26076,0,0.9555279
0,156,0,12.17181,0,12.0909,0,0.9559687
0,159,0,12.00434,0,11.9226,0,0.9564071
0,162,0,11.83821,0,11.75609,0,0.9568438
0,165,0,11.67368,0,11.59155,0,0.9572789
0,168,0,11.51095,0,11.42915,0,0.9577129
0,171,0,11.35021,0,11.26902,0,0.958146
0,174,0,11.1916,0,11.11126,0,0.9585783
0,177,0,11.03525,0,10.95596,0,0.9590101
0,180,0,10.88125,0,10.80318,0,0.9594414
0,183,0,10.72968,0,10.65297,0,0.9598724
0,186,0,10.5806,0,10.50536,0,0.9603031
0,189,0,10.43404,0,10.36037,0,0.9607338
0,192,0,10.29005,0,10.21801,0,0.9611642
0,195,0,10.14863,0,10.07828,0,0.9615946
0,198,0,10.00979,0,9.941161,0,0.9620251
0,201,0,9.873515,0,9.806643,0,0.9624556
0,204,0,9.739805,0,9.6747,0,0.9628862
0,207,0,9.60864,0,9.54531,0,0.9633169
0,210,0,9.479994,0,9.418431,0,0.9637477
0,213,0,9.353839,0,9.294033,0,0.9641787
0,216,0,9.230142,0,9.172079,0,0.96461
0,219,0,9.108861,0,9.052495,0,0.9650414
0,222,0,8.989962,0,8.935308,0,0.9654731
