"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Rifampicin|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Rifampicin|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Rifampicin|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0
0,16.13123,0,0.6848679,0,1.205358,0,0.2399146
0,32.26245,0,4.054181,0,5.386851,0,0.6079034
0,48.39368,0,8.953049,0,10.32833,0,0.8203878
0,64.5249,0,12.58996,0,13.51309,0,0.9030654
0,80.65613,0,14.3632,0,14.85133,0,0.9325509
0,96.78736,0,14.7769,0,14.97816,0,0.9435915
0,112.9186,0,14.41171,0,14.45204,0,0.9486558
0,129.0498,0,13.66864,0,13.62903,0,0.951807
0,145.181,0,12.78181,0,12.70868,0,0.9543632
0,161.3123,0,11.87617,0,11.79409,0,0.9567439
0,177.4435,0,11.01233,0,10.93321,0,0.9590739
0,193.5747,0,10.2155,0,10.14434,0,0.9613903
0,209.7059,0,9.492497,0,9.430756,0,0.9637055
0,225.8372,0,8.841274,0,8.78866,0,0.9660257
0,241.9684,0,8.25567,0,8.21121,0,0.9683534
0,258.0996,0,7.729211,0,7.691898,0,0.9706897
0,274.2308,0,7.254172,0,7.222598,0,0.973034
0,290.3621,0,6.824029,0,6.797137,0,0.9753845
0,306.4933,0,6.433002,0,6.409857,0,0.9777388
0,322.6245,0,6.076068,0,6.055878,0,0.9800938
0,338.7557,0,5.748968,0,5.731119,0,0.9824461
0,354.887,0,5.447898,0,5.431851,0,0.9847871
0,371.0182,0,5.169792,0,5.154655,0,0.9870594
0,387.1494,0,4.911073,0,4.896752,0,0.9892498
0,403.2807,0,4.669694,0,4.655775,0,0.9913606
0,419.4119,0,4.443733,0,4.430009,0,0.9933941
0,435.5431,0,4.231732,0,4.218044,0,0.9953523
0,451.6743,0,4.032423,0,4.018654,0,0.9972373
0,467.8056,0,3.84473,0,3.830794,0,0.9990513
0,483.9368,0,3.66771,0,3.653545,0,1.000796
0,500.068,0,3.500549,0,3.48611,0,1.002474
0,516.1992,0,3.342534,0,3.327786,0,1.004087
0,532.3304,0,3.193035,0,3.177959,0,1.005637
0,548.4617,0,3.05148,0,3.036058,0,1.007127
0,564.5929,0,2.917357,0,2.901587,0,1.008557
0,580.7241,0,2.790196,0,2.774073,0,1.009931
0,596.8553,0,2.669565,0,2.653083,0,1.01125
0,612.9866,0,2.555122,0,2.538337,0,1.012516
0,629.1178,0,2.446551,0,2.429417,0,1.013731
0,645.249,0,2.343307,0,2.32579,0,1.014897
0,661.3802,0,2.24519,0,2.2274,0,1.016016
0,677.5115,0,2.151973,0,2.133862,0,1.017089
0,693.6427,0,2.063444,0,2.045086,0,1.018119
0,709.7739,0,1.979026,0,1.960218,0,1.019106
0,725.9052,0,1.898974,0,1.880094,0,1.020053
0,742.0364,0,1.822835,0,1.803703,0,1.020961
0,758.1677,0,1.750467,0,1.731056,0,1.021831
0,774.2989,0,1.681501,0,1.661858,0,1.022666
0,790.4301,0,1.615783,0,1.595923,0,1.023466
0,806.5613,0,1.553289,0,1.533288,0,1.024234
0,822.6926,0,1.493855,0,1.473602,0,1.02497
0,838.8238,0,1.437275,0,1.41693,0,1.025675
0,854.955,0,1.383358,0,1.36284,0,1.026352
0,871.0862,0,1.332054,0,1.311375,0,1.027
0,887.2175,0,1.283177,0,1.26237,0,1.027622
0,903.3487,0,1.236618,0,1.215695,0,1.028219
